Country,Language Name,Language Code,Population Group,Language Vitality,Scripture,Active Translation,Year Scripture Published
Tunisia,"Arabic, Tunisian",aeb,10M+,Institutional,New Testament,Not Shown,2011.0
Saudi Arabia,"Arabic, Najdi",ars,10M+,Institutional,Selections,Not Shown,2013.0
Saudi Arabia,"Arabic, Hijazi",acw,10M+,Developing,,Not Shown,
Sudan,"Arabic, Sudanese",apd,10M+,Institutional,,Not Shown,
Iran,"Azerbaijani, South",azb,10M+,Institutional,,Not Shown,
Bangladesh,Sylheti,syl,10M+,Institutional,New Testament,Not Shown,2014.0
Bangladesh,Rangpuri,rkt,10M+,Developing,New Testament,Not Shown,2016.0
Iran,"Persian, Iranian",pes,10M+,Institutional,,Not Shown,
Bangladesh,Chittagonian,ctg,10M+,Institutional,New Testament,Not Shown,
Bangladesh,Bengali,ben,10M+,Institutional,,Not Shown,
Yemen,"Arabic, Sanaani",ayn,10M+,Vigorous,,Not Shown,
Pakistan,Sindhi,snd,10M+,Institutional,,Not Shown,
Yemen,"Arabic, Ta'izzi-Adeni",acq,10M+,Institutional,,Not Shown,
Pakistan,Urdu,urd,10M+,Institutional,,Not Shown,
Afghanistan,"Pashto, Southern",pbt,10M+,Institutional,,Not Shown,
Pakistan,Saraiki,skr,10M+,Developing,,Not Shown,
Morocco,"Arabic, Moroccan",ary,10M+,Institutional,New Testament,Not Shown,2012.0
Afghanistan,Dari,prs,10M+,Institutional,,Not Shown,
Pakistan,"Punjabi, Western",pnb,10M+,Developing,,Not Shown,
Pakistan,"Pashto, Northern",pbu,10M+,Institutional,,Not Shown,
Algeria,"Arabic, Algerian",arq,10M+,Institutional,New Testament,Not Shown,2020.0
Iran,"Kurdish, Southern",sdh,500K - 9.99M,In_Trouble,,Not Shown,
Afghanistan,Aimaq,aiq,500K - 9.99M,Developing,,Not Shown,
Mauritania,Hassaniyya,mey,500K - 9.99M,Institutional,New Testament,Not Shown,
Morocco,Tachelhit,shi,500K - 9.99M,Developing,New Testament,Not Shown,2021.0
Morocco,"Tamazight, Central Atlas",tzm,500K - 9.99M,In_Trouble,Selections,Not Shown,2020.0
Morocco,Tarifit,rif,500K - 9.99M,Developing,New Testament,Not Shown,2020.0
Iran,Bakhtiâri,bqi,500K - 9.99M,Vigorous,,Not Shown,
Iran,Gilaki,glk,500K - 9.99M,Institutional,,Not Shown,
Iran,Kashkay,qxq,500K - 9.99M,Vigorous,,Not Shown,
Iran,Khorasani Turkish,kmz,500K - 9.99M,Vigorous,,Not Shown,
Iran,Laki,lki,500K - 9.99M,Vigorous,,Not Shown,
Iran,"Luri, Northern",lrc,500K - 9.99M,Vigorous,,Not Shown,
Iran,"Luri, Southern",luz,500K - 9.99M,Vigorous,,Not Shown,
Iran,Mazandarani,mzn,500K - 9.99M,Developing,,Not Shown,
Niger,"Fulfulde, Western Niger",fuh,500K - 9.99M,Developing,New Testament,Not Shown,2018.0
Niger,"Kanuri, Manga",kby,500K - 9.99M,Developing,,Not Shown,
